행정구역별(시군구),연령별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
중구,합계,1인가구,,19161,19671,20164,20803,22078
중구,합계,남자,,9934,9730,9826,10052,10677
중구,합계,여자,,9227,9941,10338,10751,11401
중구,20세 미만,1인가구,,282,567,499,585,489
중구,20세 미만,남자,,83,172,149,180,164
중구,20세 미만,여자,,199,395,350,405,325
중구,20~24,1인가구,,1412,2061,2097,2137,2251
중구,20~24,남자,,606,874,795,772,807
중구,20~24,여자,,806,1187,1302,1365,1444
중구,25~29,1인가구,,2512,2521,2669,2809,3054
중구,25~29,남자,,1267,1328,1419,1463,1572
중구,25~29,여자,,1245,1193,1250,1346,1482
중구,30~34,1인가구,,2291,2140,2169,2301,2561
중구,30~34,남자,,1382,1211,1235,1274,1403
중구,30~34,여자,,909,929,934,1027,1158
중구,35~39,1인가구,,1586,1595,1686,1786,1920
중구,35~39,남자,,946,886,916,985,1046
중구,35~39,여자,,640,709,770,801,874
중구,40~44,1인가구,,1666,1461,1400,1349,1462
중구,40~44,남자,,1034,846,785,742,800
중구,40~44,여자,,632,615,615,607,662
중구,45~49,1인가구,,1615,1575,1632,1589,1554
중구,45~49,남자,,1057,981,991,964,906
중구,45~49,여자,,558,594,641,625,648
중구,50~54,1인가구,,1534,1391,1367,1355,1467
중구,50~54,남자,,970,840,831,812,889
중구,50~54,여자,,564,551,536,543,578
중구,55~59,1인가구,,1499,1482,1510,1514,1534
중구,55~59,남자,,871,841,841,855,888
중구,55~59,여자,,628,641,669,659,646
중구,60~64,1인가구,,1176,1272,1376,1443,1567
중구,60~64,남자,,607,646,717,765,815
중구,60~64,여자,,569,626,659,678,752
중구,65~69,1인가구,,1031,1076,1097,1120,1180
중구,65~69,남자,,449,456,465,486,546
중구,65~69,여자,,582,620,632,634,634
중구,70~74,1인가구,,938,882,882,922,1031
중구,70~74,남자,,291,280,279,319,373
중구,70~74,여자,,647,602,603,603,658
중구,75~79,1인가구,,810,849,912,898,896
중구,75~79,남자,,213,199,218,217,218
중구,75~79,여자,,597,650,694,681,678
중구,80~84,1인가구,,476,485,519,607,652
중구,80~84,남자,,88,106,114,140,158
중구,80~84,여자,,388,379,405,467,494
중구,85세 이상,1인가구,,333,314,349,388,460
중구,85세 이상,남자,,70,64,71,78,92
중구,85세 이상,여자,,263,250,278,310,368
용산구,합계,1인가구,,31025,31641,33076,34240,35148
용산구,합계,남자,,14556,14511,15176,15794,16204
용산구,합계,여자,,16469,17130,17900,18446,18944
용산구,20세 미만,1인가구,,212,250,265,307,252
용산구,20세 미만,남자,,62,69,69,60,60
용산구,20세 미만,여자,,150,181,196,247,192
용산구,20~24,1인가구,,2105,2591,2658,2620,2636
용산구,20~24,남자,,537,494,542,483,517
용산구,20~24,여자,,1568,2097,2116,2137,2119
용산구,25~29,1인가구,,3949,4108,4614,5056,5349
용산구,25~29,남자,,1922,1945,2129,2388,2532
용산구,25~29,여자,,2027,2163,2485,2668,2817
용산구,30~34,1인가구,,4414,4316,4620,4813,4985
용산구,30~34,남자,,2418,2425,2631,2717,2747
용산구,30~34,여자,,1996,1891,1989,2096,2238
용산구,35~39,1인가구,,3133,3191,3503,3764,3959
용산구,35~39,남자,,1729,1746,1883,2040,2158
용산구,35~39,여자,,1404,1445,1620,1724,1801
용산구,40~44,1인가구,,3055,2771,2638,2644,2701
용산구,40~44,남자,,1723,1547,1440,1449,1470
용산구,40~44,여자,,1332,1224,1198,1195,1231
용산구,45~49,1인가구,,2531,2604,2742,2720,2729
용산구,45~49,남자,,1468,1477,1547,1516,1524
용산구,45~49,여자,,1063,1127,1195,1204,1205
용산구,50~54,1인가구,,2236,2090,2041,2117,2158
용산구,50~54,남자,,1304,1222,1186,1253,1240
용산구,50~54,여자,,932,868,855,864,918
용산구,55~59,1인가구,,2113,2102,2195,2132,2104
용산구,55~59,남자,,1135,1132,1183,1188,1187
용산구,55~59,여자,,978,970,1012,944,917
용산구,60~64,1인가구,,1682,1938,1984,2094,2112
용산구,60~64,남자,,799,953,999,1037,1029
용산구,60~64,여자,,883,985,985,1057,1083
용산구,65~69,1인가구,,1492,1484,1535,1520,1596
용산구,65~69,남자,,561,565,607,629,671
용산구,65~69,여자,,931,919,928,891,925
용산구,70~74,1인가구,,1439,1450,1384,1417,1460
용산구,70~74,남자,,390,407,399,423,448
용산구,70~74,여자,,1049,1043,985,994,1012
용산구,75~79,1인가구,,1258,1280,1340,1320,1321
용산구,75~79,남자,,284,306,316,305,296
용산구,75~79,여자,,974,974,1024,1015,1025
용산구,80~84,1인가구,,826,872,940,1022,1075
용산구,80~84,남자,,137,134,155,186,202
용산구,80~84,여자,,689,738,785,836,873
용산구,85세 이상,1인가구,,580,594,617,694,711
용산구,85세 이상,남자,,87,89,90,120,123
용산구,85세 이상,여자,,493,505,527,574,588
성동구,합계,1인가구,,35259,37074,39067,40706,41488
성동구,합계,남자,,18401,19129,19964,20309,20525
성동구,합계,여자,,16858,17945,19103,20397,20963
성동구,20세 미만,1인가구,,634,878,708,758,587
성동구,20세 미만,남자,,291,423,321,314,240
성동구,20세 미만,여자,,343,455,387,444,347
성동구,20~24,1인가구,,3313,4276,4467,4756,4709
성동구,20~24,남자,,1565,2046,2052,2090,2016
성동구,20~24,여자,,1748,2230,2415,2666,2693
성동구,25~29,1인가구,,5338,5706,6284,6529,6878
성동구,25~29,남자,,3000,3241,3551,3560,3696
성동구,25~29,여자,,2338,2465,2733,2969,3182
성동구,30~34,1인가구,,4443,4400,4603,4752,4907
성동구,30~34,남자,,2635,2576,2679,2725,2775
성동구,30~34,여자,,1808,1824,1924,2027,2132
